Acquafredda di Maratea	(40.03514995, 15.6718583)
Acquaviva Collecroce	(41.86776495, 14.7460823465)
Aidone 1	(37.4154209, 14.445276)
Aidone 2	(37.4154209, 14.445276)
Airole	(43.871038, 7.5541812)
Ala di Stura	(45.31515, 7.305909)
Alberobello	(40.7841242, 17.2377031)
Albisano (di Torri del Benaco)	(45.6051865, 10.6900516)
Alghero	(40.5600205, 8.3151473)
Amelia	(42.5535279, 12.4167756)
Ariis	(45.8723167, 13.087311)
Arzana	(39.9194634, 9.5270001)
Asti	(44.900576, 8.2068828)
Auronzo di Cadore	(46.5511694, 12.4432062)
Avezzano	(42.0349593, 13.4241619)
Aviano	(46.0685438, 12.5891138)
Bagnolo San Vito	(45.0922527, 10.8804287)
Bellante	(42.741847, 13.810195)
Belluno	(46.1375185, 12.2181711)
Bergamo	(45.6945115, 9.669839)
Bonarcado	(40.09585, 8.657124)
Borgomanero	(45.6989107, 8.4623673)
Borgomaro	(43.974924, 7.945147)
Borgosesia	(45.7166676, 8.2768572)
Bova Superiore	(45.1423295, 7.0669792)
Bozzolo	(45.102474, 10.483982)
Branzi	(46.0053774, 9.7599743)
Brischis	(46.1680358, 13.4896112)
Bronte	(37.7889573, 14.8332064)
Brusson	(45.759342, 7.7304474)
Cagliari	(39.2169525, 9.1128513)
Calascibetta	(37.5901914, 14.2719716)
Calasetta	(39.1075591, 8.36699459353)
Calizzano	(44.2368806, 8.1144696)
Campo San Martino	(45.544396, 11.810404)
Campobasso	(41.5597935, 14.6602725)
Campodolcino	(46.4041882, 9.351706)
Campomarino	(41.9562688, 15.034344)
Canal San Bovo	(46.155711, 11.732492)
Caneva di Tolmezzo	(46.4083629, 13.0020329)
Canzo	(45.8506406, 9.2748022)
Capestrano	(42.2673176, 13.7681561)
Casa del Diavolo	(43.1879256, 12.450892)
Casan	(46.175658, 12.3205706)
Cassana	(46.3765852, 10.9602267)
Castelfondo	(46.455713, 11.116772)
Castelli	(42.48794, 13.711696)
Castelmezzano	(40.5291343, 16.0452784)
Castelnuovo Magra	(44.0998518, 10.0169419)
Castelvetere in Val Fortore	(41.4419686, 14.9396293)
Catania	(37.5026081, 15.0871114)
Cavaglià	(45.407459, 8.093324)
Cavarzere	(45.136689, 12.081618)
Cencenighe	(46.3522761, 11.9672876)
Ceppo Morelli	(45.971773, 8.067713)
Cercemaggiore	(41.461326, 14.723133)
Cerea	(45.1919188, 11.2129664)
Cesarò	(37.844756, 14.713076)
Cesenatico	(44.2011897, 12.4006894)
Chieuti	(41.844637, 15.165937)
Città di Castello	(43.4574403, 12.2405096)
Claut	(46.2666749, 12.5157093)
Coazze	(45.0521938, 7.2979015)
Cogne	(45.6087425, 7.3560226)
Comacchio	(44.696379, 12.180427)
Corigliano d'Otranto	(40.159624, 18.259428)
Cortemilia	(44.5794713, 8.1933023)
Cortina d'Ampezzo/Anpez	(46.5391502, 12.13787)
Costalta	(46.5996994, 11.920641)
Courmayeur	(45.7874248, 6.9730618)
Cravero/Kravar	(46.1338754, 13.5595805)
Cremona	(45.1346168, 10.0251103)
Crespadoro	(45.620193, 11.22589)
Decimoputzu	(39.335238, 8.91524)
Delba	(42.79021905, 10.3402813924)
Dello	(45.41811, 10.0752034)
Desana	(45.2688216, 8.3567281)
Issime	(45.6866228, 7.8538136)
Erbanno	(45.9028335, 10.1923408)
Erto	(46.2744266, 12.3720879)
Faeto	(41.325426, 15.159844)
Fara San Martino	(42.0892877, 14.2046165)
Firenze	(43.7698712, 11.2555757)
Fonni	(40.1000091, 9.27995013385)
Forni Avoltri (Collina)	(46.5814952, 12.8273728)
Forni di Sotto	(46.395045, 12.670226)
Fossalon	(45.7305206, 13.4866662)
Fratta Polesine	(45.029282, 11.64501)
Fàver	(46.181307, 11.23728)
Fénis	(45.4371908, 12.3345899)
Gambarare	(45.4234773, 12.1525542)
Gavi	(44.687649, 8.809353)
Genova	(44.40726, 8.9338624)
Genzano di Lucania	(40.847923, 16.03077)
Giarratana	(37.048643, 14.794187)
Gorizia	(45.9441278, 13.6252288)
Gossensaß	(46.9376492, 11.4440627)
Grado	(45.6773616, 13.3947654)
Graun	(46.8037378, 10.5550450616)
Gromo	(45.96399, 9.927054)
Guardia Piemontese	(39.466195, 15.999286)
Gubbio	(43.3517882, 12.5772674)
Isola Sant'Antonio	(45.030157, 8.849948)
Isolaccia	(46.4891681, 10.2956159)
Istrana	(45.6786162, 12.0997937)
Kamaovrunt	(46.0744256, 11.3024864)
Kasern	(47.0501356, 12.1266613)
Kastelruth	(46.54753885, 11.6082971155)
Kurtatsch	(46.6883411, 10.6180021)
La Ila	(46.5819413, 11.8972861)
La Spezia	(44.107033, 9.8282255)
Laconi	(39.852649, 9.050435)
Laghetto (Colico)	(46.1219504, 9.3579731)
Lanzada	(46.269297, 9.869247)
Larino	(41.8055672, 14.9210984)
Levanto	(44.1699056, 9.6120397)
Limone	(45.5745375, 10.4550721)
Limone sul Garda	(45.8141194, 10.7915786)
Giazza	(45.6542001, 11.123262)
Loreto	(43.440968, 13.6087836)
Lovadina	(45.7662522, 12.2750057)
Lumezzane (San Sebastiano)	(45.6500297, 10.2616278)
Lupara	(41.7627311, 14.7330086)
Lusern	(45.9216649, 11.3242901)
Macomer	(40.2651904, 8.7813868)
Malfa	(38.57597, 14.835471)
Maratea	(39.996703, 15.722373)
Mariano del Friuli	(45.9160611, 13.458748)
Marsciano	(42.9100282, 12.3370419)
Matera	(40.668523, 16.601585)
Meldola	(44.1267212, 12.0611527)
Meolo	(45.6194293, 12.4530566)
Milis	(40.050449, 8.637024)
Miranda	(41.645126, 14.24632)
Mezzaselva di Roana	(45.8694608, 11.430409)
Moggio	(45.933485, 9.484745)
Molveno	(46.1421057, 10.9637773)
Montagano	(41.644929, 14.675129)
Montebello	(46.0487972, 9.7853988)
Montefalcone nel Sannio	(41.866634, 14.638225)
Monteverde di Bojano	(41.5028787, 14.4866352)
Morrone del Sannio	(41.711532, 14.779831)
Muggia	(45.59584785, 13.7828563829)
Mussons	(45.8466433, 12.9647454)
Nocera Umbra	(43.1136188, 12.7886085)
Noli	(44.2058832, 8.416419)
Norcia	(42.7925422, 13.0931291)
Nuoro	(40.3210601, 9.3297339)
Ofena	(42.325837, 13.758699)
Olivetta	(43.9057468, 11.2614541)
Ornavasso	(45.9704358, 8.4122915)
Orune	(40.4081037, 9.36936621428)
Orvieto	(42.7186152, 12.1087907)
Padola	(46.6542236, 12.4399916)
Palai	(43.7709517, 11.4661849)
Palermo	(38.11127, 13.3534422)
Pancalieri	(44.833441, 7.585924)
Panicale	(43.0290588, 12.0983637)
Patti	(38.146763, 14.969579)
Peio	(46.3628864, 10.6732435)
Perdasdefogu	(39.6792178, 9.4400494)
Pfelders	(46.7952778, 11.0895074)
Pflersch	(46.9568226, 11.3451160559)
Piana degli Albanesi	(37.9960363, 13.2802106)
Picerno	(40.6384561, 15.6358739)
Pieris	(45.8096604, 13.4448012)
Pietralunga	(43.4422051, 12.4371945)
Pisticci	(40.3905725, 16.556694)
Ploaghe	(40.664262, 8.741817)
Sappada	(46.5677945, 12.6863804)
Poggibonsi	(43.4650284, 11.1483367)
Pomatt/Formazza	(46.3769096, 8.425713)
Pontebernardo	(44.3504447, 7.01813)
Potenza	(40.6384046, 15.8022077)
Pozzale	(43.6991095, 10.954191)
Predazzo	(46.3123698, 11.6027345)
Premia	(46.262983, 8.327813)
Proveis	(46.476698, 11.0223403)
Radda in Chianti	(43.4869684, 11.3743872)
Raldon	(45.3496723, 11.047128)
Rimella	(45.9075673, 8.1825035)
Rhêmes-Saint-Georges	(45.6549012, 7.1554121)
Ripacandida	(40.911922, 15.724762)
Roccasicura	(41.6968199, 14.2335322)
Roccella Jonica	(38.32213, 16.4068066282)
Rochemolles	(45.1125943, 6.7465849)
Romano d'Ezzelino	(45.7962374, 11.7583907)
Ronchis	(45.8066102, 12.9978253)
Ronco Canavese	(45.4997374, 7.5468552)
Roncone	(45.5270043, 10.2690492)
Rotondella	(40.171312, 16.525589)
Rovegno	(44.5767478, 9.2791616)
Ruda	(45.8382313, 13.4019302)
Ruvo di Puglia	(41.1140866, 16.4863974)
Rèba	(46.4973541, 11.8753372)
San Biagio Platani	(37.509042, 13.525556)
San Chirico Raparo	(40.1907152, 16.0763475)
San Fratello	(38.017058, 14.598172)
San Martin de Tor	(46.6509279, 11.8416767827)
San Martino in Pensilis	(41.873337, 15.014034)
San Paolo Albanese	(40.036708, 16.334586)
San Severo	(41.689736, 15.376044)
San Stino di Livenza	(45.7313962, 12.6805322)
Sankt Pauls	(46.7858762, 11.6782096)
Sant'Antioco	(39.0648291, 8.4562962)
Sant'Antonio di Mavignola	(46.1896057, 10.7854208)
Sant'Odorico	(46.0473414, 12.9336858)
Saracena	(39.7768368, 16.1564716)
Sassa	(46.37863, 10.461845)
Sassari	(40.7232643, 8.5610074)
Sassello	(44.4789695, 8.4901712)
Sauze di Cesana	(44.940736, 6.859007)
Scanno	(41.9038608, 13.880213)
Selvino	(45.7811435, 9.7516751)
Serracapriola	(41.811937, 15.160238)
Sexten	(46.7027185, 12.349573)
Solferino	(45.368581, 10.566679)
Spinazzola	(40.96523335, 16.1142848249)
Spoleto	(42.7355124, 12.7363357)
Squinzano	(40.436528, 18.04182)
St. Gertraud	(46.4897587, 10.8709079)
St. Marcel	(45.7319376, 7.4483916)
St. Nicolas	(45.7160778, 7.167982)
St.-Rhémy-en-Bosses	(45.8237439, 7.1821889)
Stigliano	(40.4012383, 16.2315939)
Stolvizza/Solbica	(46.3614343, 13.3541072)
Stènico	(46.0517279, 10.8544911)
Sëlva de Gherdëina	(46.5553992, 11.7380147)
Tagliacozzo	(42.069327, 13.254692)
Tarvis/Tarvisio	(46.5052624, 13.5783734)
Tarzo (Arfanta)	(45.9620365, 12.2032891)
Taufers	(46.9110202, 11.9486563)
Tempio Pausania	(40.8973821, 9.1035159)
Teolo	(45.3486861, 11.6718022)
Termoli	(41.9983273, 14.9939366)
Tischlbong/Timau	(46.5828996, 13.0039234)
Todi	(42.7823253, 12.4060462)
Tonezza del Cimone	(45.8564786, 11.3464778)
Torella	(44.3767273, 10.7238894)
Torino	(45.0709201, 7.685972)
Toro	(41.572428, 14.764932)
Tramonti di Sotto	(46.2849303, 12.7956464)
Trasacco	(41.956927, 13.5345)
Travesio	(46.1965361, 12.8709942)
Trecchina	(40.026604, 15.774674)
Trento	(46.0664228, 11.1257601)
Trevi	(42.8774972, 12.7474547)
Tricesimo	(46.1605618, 13.2125359)
Trieste	(45.6500335, 13.7706559)
Uta	(39.2909789, 8.9542602)
Valtournenche	(45.911551, 7.61925471185)
Vas	(45.9387396, 11.936408)
Venezia	(45.4371908, 12.3345899)
Verona	(45.4384958, 10.9924122)
Viarago	(46.0803612, 11.2639848)
Vicenza	(45.5488306, 11.5478825)
Vich	(46.1535035, 12.3100361)
Villa Canale	(41.8002, 14.4091)
Villa Estense	(45.1721082, 11.6669789)
Villacidro	(39.4569667, 8.7391797747)
Villafalletto	(44.543734, 7.540129)
Villalba	(37.655046, 13.84286)
Vinci	(43.7878375, 10.9274708)
Vita	(37.8709717, 12.8237435)
Vittoria	(36.9514957, 14.5304867)
Volano	(45.9171787, 11.0608033)
Volvera	(44.9564642, 7.5110517)
Zahre/Sauris	(46.46698225, 12.7114927091)
Zoagli	(44.3366505, 9.2709661)